bizNm,ctpvNm,sggNm,lctnRoadNmAddr,lctnLotnoAddr,lat,lot,bizBgngYm,bizEndYm,telno,bizDvlrNm,actcHhCnt,bzar,bizMthSeNm,dataCrtrYmd,insttCode,insttNm
춘천 온의2지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 온의동 14번지,37.874880,127.722740,2009-12,2012-01,000-0000-0000,춘천도시개발공사,,439824,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 삼천지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 삼천동 44-10번지,37.861280,127.723430,2016-12,2020-12,000-0000-0000,㈜푸른강원건설,965,509452,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 퇴계지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 퇴계동 산25-21번지,37.886348,127.736941,2016-12,2019-12,000-0000-0000,㈜삼아도시개발+대림산업(주),2835,1676488,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 석사지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 석사동 370번지,37.884743,128.626808,2008-12,2019-12,000-0000-0000,춘천시청,,30889,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 율문지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 신북읍 율문리 946번지,37.929800,127.751400,2004-12,2007-12,000-0000-0000,춘천시청,,34975,수용,2025-11-17,4181000,강원특별자치도 춘천시
태전1지구 도시개발사업,대구광역시,북구,,대구광역시 북구 태전동 344-2,35.928546,128.5461903,2012-01,2020-12,053-000-0000,태전1지구 도시개발사업조합장 성영식,,38775.5,환지,2025-12-01,3450000,대구광역시 북구
학정역지구 도시개발사업,대구광역시,북구,,대구광역시 북구 학정동 732-1,35.9542378,128.5577343,2017-01,,053-000-0000,학정역지구 도시개발사업조합장 이용철,,91057,환지,2025-12-01,3450000,대구광역시 북구
이천 아미1지구 도시개발사업,경기도,이천시,,경기도 이천시 부발읍 아미리 633-1,37.255221,127.493953,2025-01,,031-638-7311,아미1지구 도시개발사업조합,706,57237,환지,2025-11-27,4070000,경기도 이천시
부성4구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 부대동 354-20,36.849713,127.142823,2024-12,2028-12,041-548-9283,성성개발,820,68267.2,수용,2026-01-22,4490000,충청남도 천안시
부성5구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 성성동 60-31,36.848505,127.140171,2024-12,2028-12,031-205-9100,봄디앤씨,882,93556.3,수용,2026-01-22,4490000,충청남도 천안시
부성6구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 성성동 37-3,36.84363844,127.1403417,2024-12,2028-12,041-548-9283,김오개발,1066,77132.4,수용,2026-01-22,4490000,충청남도 천안시
용곡눈들구역 도시개발사업,충청남도,천안시 동남구,,충청남도 천안시 동남구 용곡동 295-1,36.78856125,127.143996,2026-12,2029-12,041-521-5659,천안시장,4292,563513,환지,2026-01-22,4490000,충청남도 천안시
성성6구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 성성동 1-2,36.84200158,127.141483,2025-12,2028-12,02-6202-5169,우리자산신탁,858,69420,수용,2026-01-22,4490000,충청남도 천안시
신방신흥구역 도시개발사업,충청남도,천안시 동남구,,충청남도 천안시 동남구 신방동 625-1,36.77588737,127.1218245,2025-12,2030-12,031-711-4011,신영씨앤디,7594,663906,수용,2026-01-22,4490000,충청남도 천안시
업성3구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 업성동 364,36.85295454,127.130225,2024-12,2028-12,041-417-5011,천안 업성3구역 도시개발사업조합,2101,148227,환지,2026-01-22,4490000,충청남도 천안시
백석5구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 한들1로 56-13 (백석동),충청남도 천안시 서북구 백석동 94,36.82883388,127.1185891,2015-12,2026-12,041-574-9555,천안 백석5지구 도시개발사업조합,1380,98179,환지,2026-01-22,4490000,충청남도 천안시
목천응원구역 도시개발사업,충청남도,천안시 동남구,,충청남도 천안시 동남구 목천읍 응원리 181,36.765120,127.183734,2019-12,2025-12,041-564-3700,천안목천지역주택조합,1155,142753,수용,2026-01-22,4490000,충청남도 천안시
성거 오색당구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 성거읍 오송1길 58-39,충청남도 천안시 서북구 성거읍 오색당리 57-8,36.88838904,127.2031933,2018-12,2028-12,041-563-5588,우리자산신탁+명재준,963,79131,수용,2026-01-22,4490000,충청남도 천안시
이천 사동3지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 사동리 358,37.2424922,127.497976,2025-11,,031-636-4280,대월도시개발조합,610,37809,환지,2025-11-27,4070000,경기도 이천시
이천 증포지구 도시개발사업,경기도,이천시,,경기도 이천시 증포동 323-20,37.29277687,127.4506194,2025-11,,031-633-2515,이천 증포지구 도시개발사업조합,568,46811,환지,2025-11-27,4070000,경기도 이천시
이천 사동지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 사동리 산9-7,37.24755135,127.4994445,2025-02,,02-2008-9114,HDC현대산업개발㈜,248,29800,수용,2025-11-27,4070000,경기도 이천시
이천 송정2지구 도시개발사업,경기도,이천시,,경기도 이천시 송정동 산29-1,37.29534208,127.4372359,2025-03,,02-2058-1193,엘엔에스파트너스㈜,635,53368,수용,2025-11-27,4070000,경기도 이천시
이천 초지지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 초지리 167-7,37.23482459,127.4965838,2025-09,,031-988-0706,㈜서윤홀딩스디앤씨,663,53067.9,환지,2025-11-27,4070000,경기도 이천시
이천 무촌2지구 도시개발사업,경기도,이천시,,경기도 이천시 부발읍 무촌리 산14-7,37.28144829,127.492998,2025-06,,031-634-2193,부양산업㈜,1956,176667,수용,2025-11-27,4070000,경기도 이천시
이천 증포5지구 도시개발사업,경기도,이천시,,경기도 이천시 증포동 107-2,37.28843036,127.4612525,2025-01,,02-6677-6513,디더블유대원㈜,356,27047,수용,2025-11-27,4070000,경기도 이천시
이천 갈산지구 도시개발사업,경기도,이천시,,경기도 이천시 갈산동 572-1,37.28719003,127.4619408,2025-02,,02-480-3195,일신건영㈜,536,40564,수용,2025-11-27,4070000,경기도 이천시
이천 대흥지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 대흥리 산44-3,37.23678636,127.4826298,2025-11,,02-2038-4031,㈜바로대흥,1770,175023,수용,2025-11-27,4070000,경기도 이천시
이천 가좌2지구 도시개발사업,경기도,이천시,,경기도 이천시 부발읍 가좌리 70-12,37.25569222,127.4745101,2025-12,,02-6902-9723,㈜무궁화신탁,767,56302,수용,2025-11-27,4070000,경기도 이천시
이천 사동5지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 사동리 444,37.24243658,127.4851947,2025-04,,031-8027-0701,㈜에스디앤트러스트,821,59802,수용,2025-11-27,4070000,경기도 이천시
이천 대흥2지구 도시개발사업,경기도,이천시,,경기도 이천시 대월면 대흥리 산17,37.2426342663,127.4795111252,2025-03,,031-8011-3849,대흥2지구 도시개발사업조합,666,59647,환지,2025-11-27,4070000,경기도 이천시
이천 신하지구 도시개발사업,경기도,이천시,,경기도 이천시 부발읍 신하리 산13-1,37.2656357197,127.4778881075,2025-06,,02-6256-7800,신영부동산신탁 주식회사,718,58527,수용,2025-11-27,4070000,경기도 이천시
이천 수광지구 도시개발사업,경기도,이천시,,경기도 이천시 신둔면 수광리 392,37.3107971996,127.4003168,2025-07,,02-6933-7633,㈜이천드림허브,1016,59992,수용,2025-11-27,4070000,경기도 이천시
부천종합운동장 일원 도시개발사업,경기도,부천시,경기도 부천시 원미구 소사로 482,경기도 부천시 원미구 춘의동 8,37.50256527,126.7990254,2017-01,2026-12,032-625-4892,부천시장+한국토지주택공사장,1363,490847,수용,2025-10-31,3860000,경기도 부천시
성골지구 도시개발사업,경기도,부천시,경기도 부천시 오정구 소사로 603-31,경기도 부천시 오정구 여월동 81,37.5121405,126.7979625,2021-12,2026-12,032-625-4893,부천시장,805,65353,환지,2025-10-31,3860000,경기도 부천시
대장안동네 도시개발사업,경기도,부천시,경기도 부천시 오정구 대장로 176,경기도 부천시 오정구 대장동 138-5,37.54321639,126.7827049,2026-12,2031-12,032-890-5496,한국토지주택공사장,3432,293172,환지,2025-10-31,3860000,경기도 부천시
오정 군부대 일원 도시개발사업,경기도,부천시,경기도 부천시 오정구 상오정로 143-1,경기도 부천시 오정구오정동 148,37.5253866,126.793522,2019-12,2028-12,032-625-4896,부천시장,4047,445311,,2025-10-31,3860000,경기도 부천시
관양고 주변 도시개발사업,경기도,안양시,경기도 안양시 동안구 일동로107번길 14,경기도 안양시 관양동 642-2,37.409143,126.960486,2019-05,2026-06,031-8045-5212,경기주택도시공사+안양도시공사,7,157081,수용,2025-11-30,3830000,경기도 안양시
인덕원 주변 도시개발사업,경기도,안양시,경기도 안양시 동안구 안양판교로 23,경기도 안양시 동안구 관양동 157,37.4006917056,126.9784975378,2023-04,2027-12,031-8045-5308,안양시+경기주택도시공사+안양도시공사,814,150987.7,수용,2025-11-30,3830000,경기도 안양시
계산종합의료단지 도시개발사업,인천광역시,계양구,,인천광역시 계양구 계산동 산52-11번지 일원,37.542831,126.712005,2016-02,,031-859-6900,김홍용,860,21926,수용,2025-12-06,3550000,인천광역시 계양구
방축구역 도시개발사업,인천광역시,계양구,,인천광역시 계양구 방축동 22번지 일원,37.552819,126.741070,2016-03,,032-541-9000,방축구역 도시개발사업조합,658,84144.3,환지,2025-12-06,3550000,인천광역시 계양구
천왕,서울특별시,구로구,,서울특별시 구로구 천왕동 279-6,37.48559889,126.838253,2024-12,,02-3410-7322,서울주택도시공사,4427,484477.2,,2026-01-05,3160000,서울특별시 구로구
헌인마을 도시개발사업,서울특별시,서초구,서울특별시 서초구 헌릉로 422,서울특별시 서초구 내곡동 374,37.45953713,127.0871329,2007-12,,02-445-7783,헌인마을도시개발사업조합,298,132523,환지,2025-12-22,3210000,서울특별시 서초구
종전부동산 망포지구 도시개발사업,경기도,수원시,,경기도 수원시 영통구 망포동 234,37.2382764182,127.0490368022,2017-02,2026-06,031-5191-3392,한국농어촌공사,2406,218942.5,수용,2026-01-06,3740000,경기도 수원시
종전부동산 이목지구 도시개발사업,경기도,수원시,,경기도 수원시 장안구 이목동 475,37.3067488266,126.9764475642,2017-12,2026-12,031-5191-3392,한국농어촌공사,4270,474021.9,수용,2026-01-06,3740000,경기도 수원시
종전부동산 효행지구 도시개발사업,경기도,수원시,,경기도 수원시 권선구 오목천동 428-1,37.2393268,126.9636121761,2022-08,2030-12,031-5191-3392,한국농어촌공사,3306,1381006.6,수용,2026-01-06,3740000,경기도 수원시
고색지구 도시개발사업,경기도,수원시,,경기도 수원시 권선구 고색동 887-51,37.2525639521,126.9796475058,2012-05,2031-12,031-292-1066,수원 고색지구 도시개발사업조합,5562,248950,환지,2026-01-06,3740000,경기도 수원시
탑동지구 도시개발사업,경기도,수원시,,경기도 수원시 권선구 탑동 540-75,37.2614228256,126.9764937346,2018-05,2028-12,031-369-2932,수원도시공사,0,268818,수용,2026-01-06,3740000,경기도 수원시
양산4지구,경기도,오산시,,경기도 오산시양산동220번지일원,37.198508,127.030065,2001-12,,031-374-7031,오산 양산4지구 도시개발사업조합,1856,187638,환지,2025-12-19,4000000,경기도 오산시
세마2지구,경기도,오산시,,경기도 오산시 세교동66-7번지일원,37.193582,127.038284,2001-12,,031-375-5056,오산 세마2지구 도시개발사업조합,1659,162669,환지,2025-12-19,4000000,경기도 오산시
청호1지구,경기도,오산시,,경기도 오산시 청호동77번지일원,37.127763,127.081555,2001-12,,031-611-3177,오산 청호1지구 도시개발사업조합,2093,205619,환지,2025-12-19,4000000,경기도 오산시
외삼미1지구,경기도,오산시,,경기도 오산시 외삼미동228번지일원,37.196474,127.055584,2001-12,,070-7729-6520,오산 외삼미지구 도시개발조합 추진위원회,1472,116336,환지,2025-12-19,4000000,경기도 오산시
가평 달전지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 동연재로 30,경기도 가평군 가평읍 달전리 702번지 일원,37.808329,127.521038,2009-11,2015-11,000-000-0000,경기도시공사,154,59934.4,수용,2025-12-24,4160000,경기도 가평군
부성2구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 과수원길 98 (부대동),충청남도 천안시 서북구 부대동 354-23,36.84916667,127.1417522,2024-12,2027-12,041-575-8801,더함도시개발,1290,143965,수용,2026-01-22,4490000,충청남도 천안시
부성3구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 부대동 394-2,36.846803,127.144771,2024-12,2028-12,02-2008-9528,HDC현대산업개발,899,13330,수용,2026-01-22,4490000,충청남도 천안시
가평 읍내2지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 석봉로191번길 37 (가평코아루),경기도 가평군 가평읍 읍내리 1053번지 일원,37.830898,127.505420,2018-10,2021-11,000-000-0000,한국토지신탁,221,13726,수용,2025-12-24,4160000,경기도 가평군
가평 경반지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 경반리 748번지 일원,37.837324,127.498782,2016-10,2022-05,000-000-0000,국방부(국방시설본부),88,10546,수용,2025-12-24,4160000,경기도 가평군
가평 뮤직빌리지지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 석봉로 100,경기도 가평군 가평읍 대곡리 693번지 일원,37.826374,127.513042,2016-01,2023-03,000-000-0000,가평군,,36777,수용,2025-12-24,4160000,경기도 가평군
가평 대곡지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 문화로 167 (e편한세상 가평퍼스트원),경기도 가평군 가평읍 대곡리 694 일원,37.827585,127.505968,2018-10,2023-08,000-000-0000,대한토지신탁㈜,472,26040.5,수용,2025-12-24,4160000,경기도 가평군
가평 대곡2지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 문화로 91 (가평자이),경기도 가평군 가평읍 대곡리 695 일원,37.820997,127.508295,2019-11,2023-09,000-000-0000,㈜서우도시개발,505,28055,수용,2025-12-24,4160000,경기도 가평군
가평 읍내지구 도시개발사업,경기도,가평군,경기도 가평군 가평읍 가평제방길 233,경기도 가평군 가평읍 읍내리 214번지 일원,37.836788,127.513095,2020-05,2023-11,000-000-0000,㈜테라디에스㈜동우씨엠건설,450,27750.1,환지,2025-12-24,4160000,경기도 가평군
가평 신천2지구 도시개발사업,경기도,가평군,경기도 가평군 설악면 한양부로 27-80,경기도 가평군 설악면 신천리 79 일원,37.681018,127.494937,2018-11,2024-12,000-000-0000,이명주,299,14316,수용,2025-12-24,4160000,경기도 가평군
가평 씨티호반청평지구 도시개발사업,경기도,가평군,,경기도 가평군 청평면 청평리 731-18번지 일원,37.726871,127.411636,2022-02,2026-12,000-000-0000,㈜리버스하임,292,17014,수용,2025-12-24,4160000,경기도 가평군
가평 신천3지구 도시개발사업,경기도,가평군,경기도 가평군 설악면 신천중앙로 107-11,경기도 가평군 설악면 신천리 산45-1번지 일원,37.675115,127.492172,2022-05,2028-12,000-000-0000,동광종합토건㈜,1040,65359,수용,2025-12-24,4160000,경기도 가평군
