file_id	case_no	sido	sigungu	umd	jimok	land_use	use_situation	road	shape	slope	area_m2	official_price	std_price	std_road	std_shape	f_time	f_region	f_indiv	f_other	unit_calc	unit_decided	total_krw	ratio_official	method_decided	sale_case_unit	sale_case_indiv	sale_case_unit_decided	base_date	purpose	readable	notes
1kOmpobkIYAbugPS0OpEasAzWXV1Px46Z	2023-09038-002	경기	여주시	금사면 이포리	임야	보전관리	자연림	세로(가)	세장형	급경사	1792	10700	35100	맹지	세장형	1.0026	1.000	0.880	2.30	71227	71000	127232000	6.6355	공시지가기준법	100000	0.704	72000	2026-03-28	공매	text	개별=접근1.10×자연0.80; 그밖 격차2.300(평가사례 69,000 법원경매 2024-01); 표준지 외평리 ○(토지임야 완경사); 본건 ○ 담보 평가사례 60,000; 준보전산지·수변구역; 화담감정평가
1osJu2cOwsW7YNAujbhgfAWbkRBLag6yG	2025-09051-001	경기	가평군	상면 연하리	임야	생산녹지	자연림	맹지	부정형	완경사	3124		53800	세로(가)		1.00	1.000	0.333	3.10	55729	56000	488409000		공시지가기준법	57000			2026-05-22	공매	text	9필지 중 주필지(연하리 ○); 대상 개별공시지가 미기재; 표준지A 답 53,800 개별=가로0.95×획지0.35; 그밖 격차3.108; 다른 필지: 태봉리 ○ 답 자연녹지 1,527㎡ 표준지B 전 66,600 개별0.910 그밖2.81→171,000 / 태봉리 ○ 전 생산관리 569㎡ 표준지C 답 48,500 개별0.723(가로0.85×획지0.85) 그밖2.62→92,000; 거래사례 57,000/174,000/91,000; 이레감정평가
1KqwmZt3Hos8Npivpc1kU6zRmAryLXnlD	2025-07146-001	경기	의정부시	낙양동	임야	자연녹지+개발제한구역	자연림	맹지	부정형	급경사	13806		10300	맹지	부정형		1.00				31000	85597200		공시지가기준법				2026-02-11	공매	partial	13,806㎡ 중 1/5 지분; 표준지 낙양동 ○ 임야 자연림 개발제한·자연녹지 맹지 부정형 급경사 10,300; 요인표 추출 실패(글자층 일부만); 표준지 대비 배율 3.01; 연성감정평가
1c2aAEU5lFdJzG5iyIi8liJ2gVqJIzkwQ	2025-13462-001	경기	연천군	왕징면 강서리	전	생산관리	전(일부 휴경)	맹지	부정형	완경사	3491	13100	18300	세로(가)	부정형	1.00392	1.000	0.950	1.82	31765	32000	111712000	2.4427	공시지가기준법	32172	0.970	31000	2025-10-28	공매	text	개별=가로0.95; 그밖 격차1.827(평가선례 35,000 경매 2023-11); 통제보호구역(민통선 북방); 인근 시세 ~32,000; 김인규감정평가
1xSqBcsnOMxy01v6fXdFvg2VaDRj6cf8w	2025-13776-001	경기	연천군	장남면 반정리	답	생산관리	답	세로(가)	사다리	평지	2849.9	20200	17600	세로(가)	부정형	1.00162	1.000	1.050	2.45	45349	45000	128245500	2.2277	공시지가기준법	46000	0.970	45000	2026-03-31	공매	text	개별=획지1.05(경사·형상 우세); 그밖 격차2.457(평가사례 45,000 농지매입 2023-05, 표준지가 사례 대비 획지0.95); 인근 지가수준 43,000~48,000; 통제보호구역(민통선); 더밸류감정평가법인
14QaUjHv_FxSX0X2iDcsZbRoypT596wq4	2026-01723-001	경기	양주시	남면 신암리	전	보전관리(+생산관리 미미)	묵전	맹지	부정형	급경사	2089		47900	맹지	부정형	1.00216	1.00	1.035	2.32	115266	115000	240235000		공시지가기준법	123762	0.920	120000	2026-04-08	공매	text	2필지: (1) 신암리 ○ 전 개별=접근1.15×획지0.90; 그밖 격차2.329(평가사례 125,000 민사소송 2024-07, 표준지 개별0.882) / (2) 신암리 ○ 임야 12,456㎡ 보전관리 자연림 맹지 급경사 = 표준지(나) 본건 17,300 개별1.000 그밖2.45(평가사례 44,000 법원경매 2024-04)→42,000 (표준지 배율 2.43); 거래사례 d 113,740×1.02006×0.385→45,000; 개별공시지가 미기재; 3년 전 본건 경매 평가 114,000/42,000; DI감정평가사사무소
1HfPN95gsMVLDnsljtLfzOR6PFZxIjtlX	2025-09936-001	경기	양평군	청운면 비룡리	전	보전관리	묵전	맹지	부정형	완경사	1537	14700	14000	맹지	부정형	1.00114	1.00	1.300	1.62	29518	30000	46110000	2.0408	공시지가기준법	65573	0.460	32000	2026-03-09	공매	text	개별=획지1.30(경사·형상 경작 편부 우세); 그밖 격차1.625(거래사례 42,787 2024-10, 표준지 개별0.527=접근0.90×자연0.90×획지0.65); 인근 실거래 31,220~73,457; 수질보전특별대책지역 2권역·자연보전권역; 최병훈감정평가사사무소
1BMfc8Cuewc5S0vpC64kri26h4228X09g	2025-07275-001	충북	제천시	청풍면 양평리	임야	보전관리(+농림 과소)	자연림	맹지	사다리	급경사	10381	2470	4810	소로한면	부정형	1.00049	1.00	0.800	2.12	8162	8200	45272200	3.3198	공시지가기준법	7974	0.969	7800	2026-03-30	공매	text	지분 5,521/10,381; 개별=접근0.80(임도 상태 열세); 그밖 격차2.115(거래사례 6,926 2022-10, 시점1.01865 개별1.154=접근1.03×자연1.12); 임업용산지·특화경관지구; 충청감정평가사사무소
1PEDraPygnQAKXDv38klUPIj547iiTgXL	2025-14430-040	충북	충주시	신니면 화석리	임야	농림+보전관리	자연림	맹지	부정형	급경사	24863	2030	1340	맹지	부정형	1.00025	1.000	1.000	3.88	5680	5700	42903900	2.8079	공시지가기준법	5345	0.960	5800	2026-01-27	체납처분	text	5필지 중 파일명 필지(산○, 지분 7,527㎡); 용도지역 면적가중(보전관리 19%: 표준지A 2,640×1.0002×0.900(접근0.90)×3.25=7,724 / 농림 81%: 표준지B 1,340×1.000×3.88=5,200); 그밖 격차 A 3.250(평가사례 11,000 공매 2024-08, 표준지 개별0.770) B 3.884(평가사례 5,200 공매 2025-10); 다른 필지: 산○ 110㎡ 보전관리 개별2,850→8,000(2.81, 개별0.927=접근0.90×자연1.03) / 산○ 목장용지 계획관리 휴경(임야화) 개별2,890 표준지C 전 12,600 개별0.388(획지0.40×행정0.97 접도구역) 그밖3.19→16,000(5.54) / 산○ 농림96%+보전관리4% 개별2,270→5,300(2.33) / 산○ 농림 선하지 개별2,310 개별요인0.876(자연1.03×행정0.85)→4,600(1.99); 인근 지가수준 보전관리 임야 8,000 농림 임야 5,000 계획관리 농경지 50,000; 미래새한감정평가법인
16j_Nc97dn_GDLydBz4kWP-OL04GRJBUT	2024-05713-001	경기	동두천시	하봉암동	임야	농림	자연림	맹지	부정형	급경사	93077	4850	5500	맹지	부정형	1.00512	1.00	0.860	1.47	6988	7000	651539000	1.4433	공시지가기준법				2024-06-07	공매	text	개별=획지0.90(철탑·송전선 통과)×행정0.95(일반철도 저촉); 그밖 격차1.474(거래사례 9,061 2021-03, 표준지 개별0.87=접근0.97×획지0.90); 인근 농림 임야 6,500~7,500; 거래사례비교법 생략(그밖에서 거래사례 사용); 임업용산지·성장관리권역; 개별공시지가 2024; 법천감정평가사사무소
1nMW1rn7WNQUgo1p8z0XazKSF--lRuQIA	2023-07792-003	경기	용인시 처인구	역북동	임야	자연녹지	자연림	맹지	장방형	완경사	16694.34	81000	96300	맹지	사다리	1.01677	1.00	1.000	3.17	310390	310000	34203354	3.8272	공시지가기준법	264569	1.150	310000	2026-07-01	공매	text	지분 110.3334㎡; 개별요인 전부 1.00; 그밖 격차3.179(평가사례 276,000 법원경매 2023-12, 그 필지 개별공시 75,100 → 사례 배율 3.67); 거래 다 264,569(본문 261,569 표기 불일치)×1.03103×1.15(자연조건 경사 우세); 성장관리계획구역(복합형)·준보전산지·자연보전권역; 개별공시지가 2026; 이건감정평가사합동사무소
1WTrK0q3QbiudZ17uAupwB995khxhcdQP	2025-08087-008	경기	평택시	청북읍 옥길리	도로	계획관리	자연림	맹지	부정형	평지	38		111000	세각(가)	부정형	1.00184	1.000	0.850	3.90	368642	369000	14022000		공시지가기준법	439500	0.810	364000	2026-03-17	공매	text	16필지(지분) 중 파일명 필지(○, 지목 도로·현황 자연림, 자연취락지구); 개별=접근0.85; 그밖 격차 3.90(평가사례 381,000 담보 2024-01, 표준지 개별1.093); 다른 표준지: A 원정리 산○ 계획관리 맹지 71,900 그밖3.48(평가사례 276,000 소송 2025-03 개별0.90) / C 홍원리 산○ 계획관리 맹지 83,300 그밖2.17 / D 홍원리 ○ 보전관리 세로(가) 48,800 그밖2.36; 임야지대 요인은 접근·자연·행정·기타 4조건; 현황도로 필지는 기타조건0.33(인접지 1/3); 분묘 1기 기타0.99; 원정리 ○ 전기타(창고부지) 개별요인1.49(접근1.12×자연1.33)→374,000; 개별공시지가 미기재; 키스톤감정평가사사무소
146NvcfpS4Ppg_YO7G9WkVFqV_LK9Aei1	2026-0700-037081	경기	파주시	문산읍 선유리	임야	2종일주	주거나지	중로한면	사다리	완경사	265	614600	949900	소로각지	사다리	1.00608	1.00	0.873	1.84	1535120	1540000	408100000	2.5057	공시지가기준법	984000	1.530	1520000	2026-05-18	공매	text	같은 PDF가 3개 ID(146Nvcf/1Udq739/1JGv2NI)로 중복 업로드; 19필지 도시지역 주거지대; 파일명 필지 ○: 개별=가로1.02×접근0.98×환경0.97×행정0.90(지목 임야); 표준지A 당동리 ○ 대 주상용 1종일주; 그밖 격차1.845(평가사례 1,590,000 담보 2025-09, 표준지 개별1.098); 다른 필지 배율(결정단가÷개별공시): 당동리 ○ 전 1종일주 중로각지 166㎡ 471,900→1,370,000(2.90, 개별0.779) / ○ 전 104㎡ →1,110,000(2.35, 획지0.76) / ○ 대 38㎡ 453,900→1,080,000(2.38, 획지0.67) / 산○ 임야 1종일주 토지임야 맹지 313㎡ 521,500→570,000(1.09, 표준지C 단독주택 420,300 개별0.677=가로0.87×접근1.03×환경1.05×획지0.80×행정0.90 그밖2.00) / 선유리 ○ 대 2종일주 114㎡ 587,200→1,720,000(2.93, 표준지B 상업용 1,748,000 개별0.612 그밖1.60) / ○ 176㎡ 468,000→1,720,000(3.68) / 1~22㎡ 소필지 대 308,000→1,150,000(3.73, 획지0.60) / 산○ 임야 자연녹지+1종일주 자연림 맹지 완경사 59㎡ 39,000→270,000(6.92, 개별0.322 그밖2.00) / ○ 답 자연녹지 광대한면 272㎡ 311,500→730,000(2.34, 표준지D 답 321,500 개별1.055 그밖2.14) / ○ 대 자연녹지 세로(가) 삼각형 8㎡ 56,800→710,000(12.5, 표준지E 353,000 개별1.019 그밖1.97) / ○ 임야 1종+2종일주 136.7㎡ 575,700→1,420,000(2.47); 전체 개별공시 합 816,742,090 vs 평가액 1,997,344,000 = 2.45; 상업지대·주택지대·농경지대 요인표 각각 사용; 대일감정원
1EwPmR2W7v9LZ4eAh-9yhDIskigJyyDfp	2025-02925-005	경기	부천시 원미구	원미동	임야	자연녹지(개발제한)+1종일주	자연림(일부 나지)	세로(가)	부정형	완경사	5245	989700	2104000	소로한면	가장형	1.01098	1.000	0.428	1.77	1610000	1350000	3540375000	1.3640	공시지가기준법	3321000	0.472	1610000	2026-06-01	공매	text	지분 1/2=2,622.5㎡; 용도지역 둘로 나눠 면적가중(주거 약 78.5%: 표준지A 원미동 ○ 대 연립주택 1종일주 2,104,000 개별0.428=가로0.95×획지0.45 그밖1.77→1,610,000 / 녹지 약 21.5%: 표준지D 산○ 임야 자연림 개발제한 광대한면 75,600 시점1.00666 개별2.151=가로0.85×접근1.15×환경1.10×획지2.00 그밖2.45→401,000) → 1,350,000; 그밖 격차 A 1.778(거래 4,537,000 대 1종일주 2025-09, 표준지 개별0.816) D 2.450(거래 495,000 임야 개발제한 2024-02, 표준지 개별0.362); 거래사례비교법 녹지부분 386,000×1.05085×1.05→426,000; 공익용산지·개발제한구역·과밀억제권역; 인근 평가사례 1종일주 임야 1,510,000~2,800,000; 해우감정평가사사무소
16jVSi2c52_MGvKtGXKf_VdZPXKMx0oBF	2024-07640-002	경기	포천시	영북면 운천리	답	계획관리	답(일부 잡종지)	맹지(현황 농로)	세장형	평지	661	35100	35000	세로(가)	부정형	1.00374	1.00	1.045	4.13	151619	152000	100472000	4.3305	공시지가기준법	142166	1.038	152000	2026-04-28	공매	text	4필지; 개별=가로0.95×획지1.10; 그밖 격차4.130(평가사례 184,000 담보 2023-04, 표준지 개별0.765=환경0.90×획지0.85); 인근 지가수준 140,000~160,000; 다른 필지: ○/○ 답 661㎡ 개별33,400→152,000(4.55) / ○ 답 4,618㎡ 부정형 일부 잡종지 개별35,500 개별요인1.078(가로0.98×획지1.10=형상0.97×이용1.13)→156,000(4.39); 제시외 건물 10동 구애 없이 평가; 성장관리계획구역·제한보호구역; 개별공시지가 2025; 이영감정평가사사무소
1sgpJ29hqgRrUXGAYoYFbxL-7b34ooOov	2024-18441-013	경기	화성시	비봉면 구포리	전	1종일주	나지(일부 콘크리트)	중로2류 접합(현황 진입 곤란)	부정형	완경사	323	615100	349600	세로(불)	부정형	1.00851	1.000	1.150	3.34	1354240	1350000	436050000	2.1948	공시지가기준법	1107032	1.150	1310000	2026-05-29	공매	text	2필지; 개별=접근1.15(교통 편부 우세); 그밖 격차3.343(평가사례 1,430,000 공매 2025-03, 표준지 개별0.80); 인근 평가사례 1종일주 전 1,370,000~1,480,000; 다른 필지 ○ 전 97㎡ 세로 3m 개별640,400→1,350,000(2.11); 주택건설사업 진행 중 인접; 개별공시지가 2026; 수감정평가사사무소
1DncXXVdLhgbVqCWOc2gWANZYjB963xwq	2021-09224-008	충북	옥천군	청성면 양저리	전	보전관리	묵전	맹지	부정형	완경사	2324	13100	15500	세로(불)	부정형	1.00109	1.00	1.048	1.94	31548	32000	74368000	2.4427	공시지가기준법	43898	0.727	32000	2026-04-27	공매	text	3필지; 파일명 필지 343: 개별=가로0.90×접근1.20×획지0.97; 그밖 격차1.944(평가사례 35,000 매입 2023-04, 표준지 개별0.851=접근0.81×획지1.05); 다른 필지: 342 전 1,111㎡ 묵전 맹지 개별13,100→32,000(2.44) / 535 답 1,279㎡ 세로(불) 평지 개별15,300 개별요인1.000→30,000(1.96); 표준지 양저리 ○ 답 보전관리 세로(불) 부정형 평지; 수질보전특별대책지역 2권역; 개별공시지가 2025; 나라감정평가법인
1h88MITXboxs60ftrGkTEUh8uDb-j2GKh	2025-15197-001	충북	옥천군	청산면 백운리	대	1종일주	단독주택·주거기타	2차선 포장도로	사다리	평지	1805	64600	52300	세로(가)	사다리	1.00449	1.000	1.245	2.21	144547	145000	52345000	2.2446	공시지가기준법	110000	1.339	148000	2025-11-19	공매	ocr	지분 1/5=361㎡; 개별=가로1.20×접근1.07×획지0.97; 그밖 격차2.214(평가선례 65,000 매입매각 2024-10, 그 필지 개별40,000 → 사례 배율 1.63; 표준지 개별1.780=가로1.03×접근1.20×환경1.20×획지1.20); 인근 사례 배율(단가÷개별공시) 1.63~3.94, 실거래 2.10~2.48; 표준지 교평리 ○ 대 단독주택 1종일주 세로(가) 사다리 평지; 제시외 주택 등 평가외; 개별공시지가 2025; 리얼티뱅크감정평가법인
1bUvY1aeUFQ0deuhYla7olMcvFk-R9aoS	2023-02620-001	경기	남양주시	금곡동	임야	자연녹지+개발제한구역	자연림	맹지	부정형	완경사(급경사 표기)	2822	21000	21500	맹지	부정형	1.00843	1.000	0.854	5.65	104614	105000	20790105	5.0000	공시지가기준법	115085	0.935	109000	2026-04-29	공매	text	지분 52,933/754,425=198.001㎡; 개별=가로0.97×획지0.88; 그밖 격차5.654(평가사례 98,000 공매 2025-02 금곡동 산○, 표준지 개별1.210=가로1.10×획지1.10); 본건 ○-05 공매 평가 100,000; 인근 개발제한 임야 평가사례 98,000~106,000, 실거래 40,000~115,085; 공익용산지·과밀억제권역; 개별공시지가 2025; 더드림감정평가사사무소
17qJhmZiRIrZAsqmekpq_yACXfOA6M_io	2025-02606-001	충북	청주시 흥덕구	지동동	전	자연녹지	전	맹지	부정형	평지	1157	145700	185100	세로(가)	부정형	1.00515	1.000	0.789	1.66	243681	244000	282308000	1.6747	공시지가기준법	286900	0.893	260000	2025-04-18	공매	text	개별=가로0.83(농로 상태)×행정0.95(표준지 자연취락지구); 그밖 격차1.663(평가전례 288,000 법원경매 2023-09, 표준지 개별1.040 행정 우세); 인근 시세 자연녹지 맹지 240,000; 표준지 지동동 ○ 전 자연녹지 세로(가) 부정형 완경사; 비행안전제3구역; 개별공시지가 2024; 가온감정평가법인
1SXuVEu5x_4fNTl0p6i5ZyWmGL0WdZKMS	2024-18603-001	경기	평택시	팽성읍 남산리	공장용지	계획관리	현황 도로	본건이 도로(6m 콘크리트)	부정형	평지	1360	129900	281600	세로(가)	사다리	1.00672	1.000	0.337	2.42	231190	231000	39270000	1.7783	공시지가기준법	633080	0.330	234000	2025-05-20	공매	ocr	지분 170/1,360; 개별=가로1.02×기타0.33(현황 도로); 그밖 격차2.422(평가사례 682,000 경매 2024-12 대 단독주택, 표준지 개별1.000); 인근 도로 평가사례 226,000, 도로 실거래 273,400; 표준지 남산리 ○ 대 단독주택 계획관리; 토지대장 개별공시 이력 2019 118,800 / 2020 125,700 / 2021 145,200 / 2022 124,400 / 2023 125,300 / 2024 135,700 / 2025 129,900; 비행안전제2구역·군용비행장 소음대책 3종; 등기부·토지대장 첨부(개인정보 다수, 장부에 옮기지 않음); 에이원감정평가법인
19443XCME5uNgorAbY3VbTkVL5xK95t7G	2024-06452-015	경기	오산시	내삼미동	임야	보전녹지	자연림(도시계획시설 공원)	맹지	부정형	완경사	4421		50500	맹지	부정형	1.00683	1.00	1.050	1.76	93961	94000	415263800		공시지가기준법	142470	0.576	95000	2026-05-25	공매	text	지분 4,417.7/4,421; 개별=접근1.05; 그밖 격차1.764(평가사례 74,000 담보 2020-03, 시점1.23693 표준지 개별0.98); 거래 142,470(2021-10)×1.15668×0.576(접근0.96×행정0.60 공원 저촉)→95,000; 역사공원·공익용산지·비행안전제2구역; 개별공시지가 미기재; 임야지대 4조건(접근·자연·행정·기타); 키스톤감정평가사사무소
1l128cw5US9QolrR9BkdVUVfK1rvVs6Lh	2025-08837-001	경기	용인시 처인구	해곡동	도로	계획관리	현황 도로	본건이 도로(2차선 접함)	사다리	완경사	630	103900	322700	세로(가)	사다리	1.00820	1.000	0.330	2.05	220097	220000	21780000	2.1174	공시지가기준법				2026-03-20	공매	text	지분 99/630; 개별=행정0.33(현황 도로, 보상법 시행규칙 §26 준용 인근토지 1/3 이내); 그밖 격차2.050(거래사례 477,000 주거나지 2025-11에 사정보정1.38 적용(담보평가 660,000 수준)×1.01322, 표준지 개별1.000); 거래사례비교법 생략(인근 평가사례 660,000~864,000로 검토); 본건 다른 지분 2025-05 실거래 441,000; 표준지 해곡동 ○ 대 단독주택 계획관리 세로(가); 성장관리계획구역(복합형)·자연보전권역·수질보전특별대책지역; 개별공시지가 2025; 한국제일감정평가사사무소
1MWf-Mo-oTgB0IHWIONyVYY2c3Ss3S9RP	2024-18621-005	부산	사하구	장림동	공장용지	준공업	공업나지	광대한면(인접지 경유)	사다리	평지	4654	1946000	1521000	광대세각	사다리	1.01448	1.00	1.102	2.10	3570866	3570000	16614780000	1.8345	공시지가기준법	4003000	0.872	3630000	2025-07-04	공매	text	3필지; 파일명 필지 ○: 개별=접근1.02×획지1.08(면적 우세); 그밖 격차2.104(평가사례 2,560,000 경매 2025-02 공장용지, 표준지B 개별1.254=가로1.15×접근1.05×환경1.18×획지0.88); 다른 필지: ○ 임야 준공업+자연녹지 세로(불) 부정형 완경사 172㎡ 개별909,000 표준지A ○ 세로(가) 938,100 개별0.875(가로0.97×획지0.98×행정0.92 지목·용도지역) 그밖2.42(격차2.423)→2,020,000(2.22) / ○ 전 준공업 광대한면 66㎡ 개별409,800 개별1.080(접근1.02×획지1.08×행정0.98) 그밖2.10→3,500,000(8.54); 본건 ○-09 실거래 2,101,590, 2021-09 담보평가 3,630,000; 인근 지가수준 광대 3,300,000~3,800,000 세로(가) 2,000,000~2,600,000; 물류창고 신축허가 유효(미착공); 공업지대 요인표(가로·접근·환경·획지·행정·기타); 개별공시지가 2025; 안단테감정평가사사무소
1B0QbMdfWf8A4N0dEzO_X6AKGQ9h3jB4h	2025-07461-003	경기	의정부시	민락동	대	준주거	주거나지(자족시설용지1)	중로한면	사다리	평지	5962.7	1884000	1884000	중로한면	사다리	1.01217	1.00	0.930	1.70	3014853	3010000	17947727000	1.5977	공시지가기준법	4558547	0.640	3020000	2025-11-03	공매	text	2필지(○ 5,962.7 + ○ 5,435.7, 같은 단가); 민락2 공공주택지구 지구단위계획 자족시설용지1(용적률 400%, 건폐율 60%, 10층); 개별=획지0.93(경사·택지조성 정도); 그밖 격차1.70(평가사례 3,040,000 공매 2024-05 자족6 용적률250%, 표준지 개별1.038=가로0.94×접근0.98×획지0.98×행정1.15); 본건 평가 이력 2024-02 담보 2,870,000 / 2025-05 공매 매각 3,160,000; 인근 준주거 대지 2,800,000~3,100,000; 표준지 민락동 ○ 대 업무용 준주거(본건과 같은 공시지가); 개별공시지가 2025; 중앙감정평가법인
1xHNcpBPQ-mIoS0xTQcjj9BMMKmhBol03	2024-13159-002	경기	양주시	남면 상수리	전	일반공업+자연녹지	전	세로(가)	부정형	평지	627	139600	150500	세로(가)	사다리	1.00263	1.000	0.744	2.07	232392	232000	72732000	1.6619	공시지가기준법	471501	0.517	244000	2026-05-18	공매	text	지분 1/2=313.5㎡; 지구단위계획구역(상수2공업, 2025-02 고시로 자연녹지→일반공업 변경); 개별=획지0.80(깊이·형상)×행정0.93(자연녹지 부분 + 도시계획도로 저촉 약 15%); 그밖 격차2.077(평가사례 509,000 공장용지 자산재평가 2025-12, 표준지 개별0.614=가로0.80×환경0.85×획지0.95×행정0.95); 본건 ○-10 공매 평가 173,000(당시 자연녹지); 인근 공장용지·대지 410,000~530,000, 전·답 160,000~320,000; 거래 471,501(공장 배분)×1.00018×0.517→244,000; 공업지대 요인표; 개별공시지가 2026; 씨비알이감정평가법인
