역명,위도,경도,주소,역등급,정차횟수,본부,출입구 개수,관련노선
단양역,36.973249,128.343616,충청북도 단양군 단양읍 단양로 896,3.0,16.0,,,"중앙선(고속),중앙선,충북선"
대광리,38.184937,127.108498,,,,서울본부,1.0,
대구,35.875792,128.596782,,,,대구경북,2.0,
대구역,35.8765,128.597445,대구광역시 중구 태평로 161,2.0,114.0,,,경부선
대야,35.94487637,126.8242062,,,,전북,1.0,
대야역,35.9432,126.810774,전라북도 군산시 대야면 대야관통로 46-6,3.0,8.0,,,장항선
대전,36.33251,127.4342,,,,대전충청,4.0,
대전역,36.332269,127.434183,대전광역시 동구 중앙로 215,1.0,257.0,,,"경부선(고속),경전선(고속),동해선(고속),경부선,충북선"
대천,36.341462,126.586741,,,,대전충청,2.0,
대천역,36.342308,126.585596,충청남도 보령시 대해로 116 ,2.0,32.0,,,장항선
덕소역,37.587005,127.208644,경기도 남양주시 와부읍 덕소로 56,3.0,22.0,,,중앙선
덕하역,35.495022,129.304992,울산광역시 울주군 청량읍 상남리 533-15,3.0,13.0,,,"중앙선,동해남부선"
도계역,37.229232,129.044309,강원도 삼척시 도계로 222,2.0,35.0,,,"영동선,태백선"
도고온천,36.75730556,126.8895722,,,,대전충청,2.0,
도고온천역,36.749764,126.889296,충청남도 아산시 도고면 온천대로 304,0.0,,,,장항선
도라산,37.89877,126.7098,,,,서울본부,1.0,
동대구,35.879787,128.628623,,,,대구경북,5.0,
동대구역,35.879012,128.626219,대구광역시 동구 동대구로 550 ,1.0,298.0,,,"경부선(고속),경전선(고속),동해선(고속),경부선,중앙선,대구선,동해남부선,경전선"
동백산,37.154893,129.034542,,,,강원본부,1.0,
동백산역,37.1510421,129.033998,강원도 태백시 동태백로 984,3.0,,,,"영동선,태백선"
동해역,37.498237,129.12391,강원도 동해시 동해역길 69,1.0,30.0,,,"강릉선(고속),영동선,태백선,동해-강릉 셔틀"
둔내,37.510619,128.222225,,,,강원본부,2.0,
둔내역,0.0,0.0,강원도 횡성군 둔내면 자포곡리 429-1,0.0,,,,강릉선(고속)
득량,34.76,127.17,,,,광주전남,1.0,
득량역,34.760834,127.171993,전라남도 보성군 득량면 역전길 28,3.0,10.0,,,경전선
마산,35.14,128.34,,,,부산경남,1.0,
마산역,35.235919,128.577026,경남 창원시 마산회원구 마산역광장로18,1.0,26.0,,,"경전선(고속),경전선"
만종,37.3545011,127.8925572,,,,강원본부,2.0,
만종역,37.3563988,127.8969128,강원도 원주시 호저면 운동들2길 21-33,3.0,,,,강릉선(고속)
매곡,37.436095,127.730439,,,,서울본부,1.0,
매곡역,37.431763,127.718013,경기도 양평군 양동면 매월리 1031 ,0.0,10.0,,,중앙선
명봉,34.82,127.07,,,,광주전남,1.0,
명봉역,34.8275527,127.0758013,전라남도 보성군 노동면 예재로 384 ,0.0,7.0,,,경전선
목포,34.79,126.39,,,,광주전남,1.0,
목포역,34.791165,126.386415,전남 목포시 영산로 98,1.0,48.0,,,"호남선(고속),호남선"
몽탄,34.93,126.5,,,,광주전남,1.0,
몽탄역,34.929382,126.503262,전라남도 무안군 몽탄면 몽탄로 869 ,3.0,18.0,,,호남선
무안,34.57,126.31,,,,광주전남,1.0,
무안역,34.900108,126.468278,전라남도 무안군 몽탄면 우명길 16-32,3.0,18.0,,,호남선
묵호,37.5468825,129.1076845,,,,강원본부,1.0,
묵호역,37.545955,129.107776,강원도 동해시 해안로 520,3.0,28.0,,,"강릉선(고속),동해-강릉 셔틀"
물금,35.3071833,128.9853488,,,,부산경남,1.0,
물금역,35.307264,128.984321,경상남도 양산시 물금읍 황산로 347 ,3.0,30.0,,,"경부선,경전선"
민둥산,37.243708,128.77365,,,,대전충청,1.0,
민둥산역,37.243657,128.773221,강원도 정선군 남면 무릉1로 128,3.0,18.0,,,태백선
밀양,35.4744457,128.7771466,,,,부산경남,2.0,
밀양역,35.474614,128.771229,경상남도 밀양시 중앙로 62 ,2.0,128.0,,,"경부선(고속),경전선(고속),경부선,경전선"
반성,35.1,128.15,,,,부산경남,1.0,
반성역,35.1695659,128.2768257,경상남도 진주시 일반성면 일사로 787,3.0,12.0,,,경전선
백마고지,38.25763,127.166169,,,,서울본부,2.0,
백양사,35.49,126.87,,,,광주전남,1.0,
백양사역,35.431654,126.808405,전라남도 장성군 북이면 백양로 2-14,3.0,25.0,,,호남선
벌교,34.82,127.34,,,,광주전남,1.0,
벌교역,34.822102,127.310301,전라남도 보성군 벌교읍 채동선로 228,3.0,10.0,,,경전선
별어곡,37.2693199,128.7397793,,,,대전충청,1.0,
보성,34.76,127.08,,,,광주전남,1.0,
보성역,34.76862,127.080168,전라남도 보성군 보성읍 현충로 90,3.0,10.0,,,경전선
봉양,37.1302029,128.1309214,,,,대전충청,1.0,
봉양역,37.131099,128.131003,충청북도 제천시 봉양면 주포로 8길 58,3.0,8.0,,,"중앙선,충북선"
봉화,36.89152725,128.7269751,,,,대구경북,1.0,
봉화역,36.89164,128.726469,경상북도 봉화군 봉화읍 봉화로 1072-1 ,3.0,10.0,,,영동선
부강역,36.532184,127.366045,세종특별자치시 부강면 청연로 90,3.0,17.0,,,"경부선,전라선"
부산,35.114495,129.03933,,,,부산경남,9.0,
부산역,35.115242,129.042895,부산광역시 동구 중앙대로 206,1.0,145.0,,,"경부선(고속),경부선"
부전,35.16475,129.060072,,,,부산경남,2.0,
부전역,35.164421,129.060169,부산광역시 부산진구 부전로 181 ,2.0,50.0,,,"경부선,중앙선,동해남부선,경전선"
북영천,35.96575278,128.91765,,,,대구경북,1.0,
북영천역,35.964065,128.918172,경상북도 영천시 장수로 61,0.0,4.0,,,"중앙선,대구선"
북울산,35.6148171,129.3719574,,,,부산경남,1.0,
북천,35.11,127.88,,,,부산경남,1.0,
북천역,35.114378,127.894964,경상남도 하동군 북천면 경서대로 2347,3.0,12.0,,,경전선
분천,36.9324239,129.0585469,,,,대구경북,1.0,
분천역,36.9323645,129.0585209,경상북도 봉화군 소천면 분천길 49,3.0,8.0,,,영동선
불국사역,35.778179,129.296269,경상북도 경주시 산업로 3043-8,3.0,14.0,,,"중앙선,동해남부선"
사북,37.226242,128.81698,,,,대전충청,1.0,
사북역,37.226237,128.816682,강원도 정선군 사북읍 지장천로 616-12,3.0,14.0,,,태백선
사상,35.162619,128.988722,,,,부산경남,1.0,
사상역,35.162477,128.988826,부산광역시 사상구 광장로 108,3.0,15.0,,,"경부선,경전선"
삼랑진,35.404847,128.842628,,,,부산경남,1.0,
삼랑진역,35.399489,128.843391,경상남도 밀양시 삼랑진읍 천태로 72,2.0,48.0,,,"경부선,경전선"
삼례,35.90666389,127.0642556,,,,전북,1.0,
삼례역,35.906407,127.064098,전라북도 완주군 삼례읍 삼례역로 85-32,3.0,24.0,,,전라선
삼산,37.392299,127.779846,,,,서울본부,1.0,
삼산역,37.3927022,127.7799931,경기도 양평군 양동면 삼산역길 193,0.0,4.0,,,중앙선
삼척해변,37.4683103,129.1662641,,,,강원본부,1.0,
삼탄,37.0730976,128.0388281,,,,대전충청,1.0,
삼탄역,37.071098,128.029394,충청북도 충주시 산척면 삼여울길 108,3.0,6.0,,,충북선
삽교역,36.685998,126.739561,충청남도 예산군 삽교읍 삽교역로 101-14,3.0,25.0,,,장항선
상동,35.555507,128.760754,,,,부산경남,1.0,
상동역,35.55546,128.760349,경상남도 밀양시 상동면 금산7길 4 ,3.0,31.0,,,"경부선,경전선"
상봉역,37.5969776,127.0857994,서울특별시 중랑구 망우로 297,3.0,,,,강릉선(고속)
상주,36.4102884,128.1637385,,,,대구경북,1.0,
상주역,36.410428,128.163667,경상북도 상주시 남문1길 24,3.0,8.0,,,경북선
서경주,35.88473921,129.1803244,,,,대구경북,1.0,
서경주역,35.868628,129.2011165,경상북도 경주시 현곡면 용담로 198-5,3.0,22.0,,,"중앙선,대구선,동해남부선"
서광주,35.13,126.85,,,,광주전남,1.0,
서광주역,35.124528,126.848249,광주광역시 서구 풍서좌로 203,3.0,10.0,,,"호남선,경전선"
서대구,35.881304,128.539901,,,,대구경북,2.0,
서대전,36.32264061,127.4033177,,,,대전충청,2.0,
서대전역,36.326388,127.401657,대전광역시 중구 오류로 23,2.0,112.0,,,"호남선(고속),전라선(고속),호남선,전라선"
서울,37.55473,126.9708,,,,서울본부,3.0,
서울역,37.557863,126.969468,서울시 중구 한강대로 405,1.0,257.0,,,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속),강릉선(고속),경부선"
서원주,37.349082,127.839965,,,,서울본부,2.0,
서원주역,0.0,0.0,강원도 원주시 지정로 145,0.0,,,,"강릉선(고속),중앙선(고속),중앙선"
서정리역,37.056459,127.052839,경기도 평택시 탄현로 51,3.0,27.0,,,"경부선,호남선"
서천,36.08233,126.708133,,,,대전충청,1.0,
서천역,36.077034,126.701291,충청남도 서천군 서천읍 서천역길 57,3.0,32.0,,,장항선
석불,37.4602,127.655,,,,서울본부,1.0,
석불역,37.452985,127.657237,경기도 양평군 지평면 망미리 1319-2,0.0,4.0,,,중앙선
석포역,37.045098,129.060802,경상북도 봉화군 석포면 석포로 134,3.0,10.0,,,영동선
선평,37.3213184,128.7121801,,,,대전충청,1.0,
성환역,36.915783,127.126822,충청남도 천안시 서북구 성환읍 성환1로 237-5,3.0,28.0,,,"경부선,호남선,전라선"
센텀역,0.0,0.0,부산광역시 해운대구 해운대로 210,0.0,0.0,,,"중앙선,동해남부선"
수색,37.5806,126.8959,,,,서울본부,1.0,
수원,37.26608,126.999231,,,,수도권광역,6.0,
수원역,37.266118,126.999941,경기도 수원시 팔달구 덕영대로 924 ,1.0,198.0,,,"경부선(고속),경부선,호남선,전라선,장항선"
순천,34.95,127.5,,,,광주전남,2.0,
순천역,34.946606,127.500904,전라남도 순천시 팔마로 135,1.0,52.0,,,"전라선(고속),전라선,경전선"
승부,36.9937932,129.0837797,,,,대구경북,0.0,
승부역,36.993791,129.083741,경상북도 봉화군 석포면 승부길 1162-5,3.0,5.0,,,영동선
신경주,35.79876574,129.1387516,,,,대구경북,2.0,
신경주역,35.7983408,129.1389251,경상북도 경주시 건천읍 신경주역로 80,1.0,1.0,,,경부선(고속)
신기,37.345934,129.084985,,,,강원본부,1.0,
신기역,37.346133,129.085038,강원도 삼척시 신기역길 89,3.0,18.0,,,"영동선,태백선"
신녕,36.03403,128.79114,,,,대구경북,1.0,
신녕역,36.034029,128.790654,경상북도 영천시 신녕면 장수로 1587,3.0,4.0,,,중앙선
신동역,35.955297,128.486559,경상북도 칠곡군 지천면 신동로7길 37,3.0,7.0,,,경부선
신례원역,36.725901,126.847648,충청남도 예산군 예산읍 신례원로212번길 19-12 ,3.0,22.0,,,장항선
신망리,38.132142,127.078131,,,,서울본부,2.0,
신탄리,38.212687,127.138965,,,,서울본부,1.0,
신탄진,36.4489108,127.4283895,,,,대전충청,1.0,
신탄진역,36.450512,127.428437,대전광역시 대덕구 신탄진로 807,2.0,79.0,,,"경부선,호남선,전라선,충북선"
신태인,35.6887,126.884123,,,,전북,1.0,
신태인역,35.687386,126.884743,전라북도 정읍시 신태인읍 정신로 1163번지,3.0,30.0,,,호남선
신해운대역,0.0,0.0,부산광역시 해운대구 장산로 427,0.0,,,,"경부선,중앙선,동해남부선"
심천,36.25513,127.7115,,,,대전충청,1.0,
심천역,36.237936,127.719524,충청북도 영동군 심천면 심천로5길 5,3.0,7.0,,,경부선
쌍용역,37.1746385,128.3284116,강원도 영월군 한반도면 용정원길 9,2.0,12.0,,,태백선
아산,36.7921724,127.1038724,,,,대전충청,2.0,
아산역,36.794613,127.104529,충청남도 아산시 배방읍 희망로 90,0.0,43.0,,,장항선
아우라지,37.4728739,128.7220538,,,,대전충청,1.0,
아화,35.897856,129.051588,,,,대구경북,2.0,
안강,35.97065965,129.2330567,,,,대구경북,1.0,
안강역,35.98938,129.231233,경상북도 경주시 안강읍 비화원로 15-1,3.0,28.0,,,"대구선,동해남부선"
안동,36.57457563,128.6747619,,,,대구경북,2.0,
안동역,36.56205,128.731023,경상북도 안동시 경동로 122-16,2.0,24.0,,,"중앙선(고속),중앙선"
안양역,37.401933,126.922651,경기도 안양시 만안구 만안로 244,2.0,31.0,,,"경부선,호남선,전라선,장항선"
앙성온천,37.09222,127.7871,,,,대전충청,2.0,
약목역,36.0371781,128.3640792,경상북도 칠곡군 약목면 칠곡대로 635 ,3.0,14.0,,,경부선
양동,37.421914,127.753314,,,,서울본부,2.0,
양동역,37.420275,127.754842,경기도 양평군 양동면 양동역길 19,3.0,19.0,,,중앙선
양원(영동선)역,36.964222,129.091428,경상북도 봉화군 소천면 분천리 113-2,0.0,,,,영동선
양평역,37.496011,127.49178,경기도 양평군 양평읍 역전길 30,3.0,34.0,,,"강릉선(고속),중앙선(고속),중앙선"
여수엑스포,34.75,127.75,,,,광주전남,2.0,
여수엑스포역,34.748164,127.745746,전라남도 여수시 망양로 2,2.0,36.0,,,"전라선(고속),전라선"
여천,34.78,127.66,,,,광주전남,1.0,
여천역,34.768147,127.659479,전라남도 여수시 시청로 200,3.0,36.0,,,"전라선(고속),전라선"
연산,36.2121621,127.2004825,,,,대전충청,1.0,
연산역,36.2124543,127.20118,충청남도 논산시 연산면 선비로275번길 31-2 ,3.0,12.0,,,"호남선,전라선"
영덕,36.411157,129.377157,,,,대구경북,2.0,
영덕역,0.0,0.0,경상북도 영덕군 영덕읍 중앙길 29,0.0,,,,동해선
영동,36.17241,127.7862,,,,대전충청,1.0,
영동역,36.174281,127.782071,충청북도 영동군 영동읍 계산로 87,2.0,59.0,,,경부선
영등포,37.5161179,126.9069418,,,,수도권광역,6.0,
영등포역,37.517699,126.912623,서울특별시 영등포구 경인로 846,1.0,198.0,,,"경부선(고속),경부선,호남선,전라선,장항선"
영월,37.182433,128.480746,,,,대전충청,1.0,
영월역,37.190198,128.548305,강원도 영월군 영월읍 영월로 2106,2.0,18.0,,,태백선
영주,36.81101017,128.625046,,,,대구경북,2.0,
영주역,36.785543,128.623836,경상북도 영주시 선비로 64,1.0,34.0,,,"중앙선(고속),중앙선,충북선,경북선,영동선"
영천,35.959483,128.939163,,,,대구경북,1.0,
영천역,35.959184,128.940869,경상북도 영천시 금완로 98 ,2.0,54.0,,,"중앙선,대구선,동해남부선"
예당,34.77,127.2,,,,광주전남,1.0,
예당역,34.778745,127.202843,전라남도 보성군 득량면 예당역전길 19,3.0,10.0,,,경전선
예미역,37.212716,128.648036,강원도 정선군 신동읍 함백로 55,3.0,17.0,,,태백선
예산,36.68716944,126.8290167,,,,대전충청,1.0,
예산역,36.685687,126.829066,충청남도 예산군 예산읍 역전로 83,3.0,32.0,,,장항선
예천,36.64781745,128.4443759,,,,대구경북,1.0,
예천역,36.647584,128.444855,경상북도 예천군 예천읍 역전길 4,3.0,10.0,,,경북선
오근장,36.70012,127.478532,,,,대전충청,1.0,
오근장역,36.698932,127.476861,충청북도 청주시 청원구 토성로 443,3.0,18.0,,,충북선
오산역,37.146584,127.066772,경기도 오산시 오산동 역광장로 59,3.0,28.0,,,"경부선,전라선"
오송,36.620557,127.327377,,,,대전충청,8.0,
오송역,36.621521,127.328793,충청북도 청주시 흥덕구 오송읍 오송가락로 123,3.0,,,,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속),충북선"
오수,35.543012,127.320531,,,,전북,1.0,
오수역,35.5444797,127.3191582,전라북도 임실군 오수면 충효로 1967-19,3.0,26.0,,,전라선
옥산,36.266702,128.116093,,,,대구경북,1.0,
옥산역,36.283291,128.095064,경상북도 상주시 공성면 산현1길 28,3.0,8.0,,,경북선
옥천,36.2982,127.5655,,,,대전충청,1.0,
옥천역,36.297869,127.565283,충청북도 옥천군 옥천읍 옥천로 1624 ,3.0,16.0,,,경부선
온양온천,36.781026,127.001988,,,,대전충청,2.0,
온양온천역,36.780879,127.003683,충청남도 아산시 온천대로 1496,2.0,43.0,,,장항선
완사,35.13,127.97,,,,부산경남,1.0,
완사역,35.132919,127.979576,경상남도 사천시 곤명면 경서대로 3435,0.0,10.0,,,경전선
왜관,36.047544,128.363,,,,대구경북,1.0,
왜관역,35.99303,128.400079,경상북도 칠곡군 왜관읍 중앙로8길 10,2.0,59.0,,,경부선
용궁,36.6271378,128.3293183,,,,대구경북,1.0,
용궁역,36.6068202,128.2727882,경상북도 예천군 용궁면 용궁로 80,0.0,10.0,,,경북선
용문역,37.482958,127.595217,경기도 양평군 용문면 용문역길 21,3.0,34.0,,,중앙선
용산,37.52991,126.9648,,,,서울본부,3.0,
용산역,37.529567,126.963918,서울특별시 용산구 한강대로 23길 55,1.0,152.0,,,"경부선(고속),호남선(고속),전라선(고속),호남선,전라선,장항선"
울산,35.5515794,129.1385479,,,,부산경남,4.0,
울산역,35.539412,129.355105,울산광역시 울주군 삼남면 울산역로 177,1.0,36.0,,,경부선(고속)
웅천,36.235584,126.606692,,,,대전충청,1.0,
웅천역,36.234122,126.601819,충청남도 보령시 웅천읍 방축길 151,3.0,32.0,,,장항선
원동,35.36294,128.920375,,,,부산경남,1.0,
원동역,35.3627245,128.9207899,경상남도 양산시 원동면 원동마을길 13,3.0,17.0,,,"경부선,경전선"
원주,37.315989,127.921874,,,,서울본부,1.0,
원주역,37.35825,127.944163,강원도 원주시 북원로 1860,2.0,34.0,,,"중앙선(고속),중앙선"
월포,36.204284,129.366728,,,,대구경북,1.0,
월포역,0.0,0.0,경상북도 포항시 북구 청하면 월포로 137,0.0,,,,동해선
음성역,36.926125,127.704487,충청북도 음성군 음성읍 한불로 60 ,3.0,18.0,,,충북선
의성,36.353524,128.6935,,,,대구경북,1.0,
의성역,36.353948,128.693497,경상북도 의성군 의성읍 문소3길 89-8 ,3.0,12.0,,,중앙선
이양,34.89,126.99,,,,광주전남,1.0,
이양역,34.890855,126.989989,전라남도 화순군 이양면 이양로 134 ,3.0,10.0,,,경전선
이원,36.24439,127.6179,,,,대전충청,1.0,
이원역,36.243676,127.617932,충청북도 옥천군 이원면 이원역길 51,3.0,6.0,,,경부선
익산,35.9394,126.946773,,,,전북,2.0,
익산역,35.940719,126.946551,전라북도 익산시 익산대로 153,1.0,142.0,,,"호남선(고속),전라선(고속),호남선,전라선,장항선"
일로,34.85,126.48,,,,광주전남,1.0,
일로역,34.8482593,126.4777165,전라남도 무안군 삼향읍 국사로 5-11,3.0,26.0,,,호남선
일신,37.44539,127.6886,,,,서울본부,1.0,
일신역,37.4454594,127.6883584,경기도 양평군 지평면 노곡길 2,3.0,6.0,,,중앙선
임기,36.90385556,128.9994028,,,,대구경북,1.0,
임기역,36.90383,128.999305,경상북도 봉화군 소천면 숲터길 58 ,3.0,4.0,,,영동선
임성리,34.82,126.43,,,,광주전남,1.0,
임성리역,34.820361,126.43453,전라남도 목포시 임성로 62번길 18,3.0,7.0,,,호남선
임실,35.632905,127.28991,,,,전북,1.0,
임실역,35.632293,127.288274,전라북도 임실군 임실읍 춘향로 2932 ,3.0,17.0,,,전라선
장사,36.284421,129.369508,,,,대구경북,1.0,
장사역,0.0,0.0,경상북도 영덕군 남정면 진불2길 26,0.0,,,,동해선
장성,35.3,126.78,,,,광주전남,1.0,
장성역,35.299404,126.779848,전라남도 장성군 장성읍 역전로 87,2.0,51.0,,,"호남선(고속),호남선"
장항,36.039633,126.714975,,,,대전충청,1.0,
장항역,36.041492,126.708189,충청남도 서천군 마서면 장항역길 55,2.0,32.0,,,장항선
전의,36.67849,127.2032,,,,대전충청,1.0,
전의역,36.678032,127.203382,세종특별자치시 전의면 만세길 10 ,3.0,16.0,,,"경부선,전라선"
전주,35.849772,127.161845,,,,전북,1.0,
전주역,35.849552,127.161439,전라북도 전주시 덕지구 동부대로 680번지,1.0,34.0,,,"전라선(고속),전라선"
점촌,36.607205,128.2728907,,,,대구경북,1.0,
점촌역,36.595544,128.203253,경상북도 문경시 신흥로 170,3.0,8.0,,,경북선
정동진,37.691459,129.032672,,,,강원본부,1.0,
정동진역,37.691093,129.033194,강원도 강릉시 강동면 정동역길 17,3.0,28.0,,,"강릉선(고속),동해-강릉 셔틀"
정선,37.3880834,128.6719769,,,,대전충청,1.0,
정읍,35.575556,126.8425,,,,전북,2.0,
정읍역,35.575371,126.842753,전라북도 정읍시 서부산업도로 305,2.0,61.0,,,"호남선(고속),호남선"
제천,37.128505,128.204927,,,,대전충청,1.0,
제천역,37.128031,128.204342,충청북도 제천시 의림대로 1,1.0,56.0,,,"중앙선(고속),중앙선,충북선,태백선"
조성,34.8,127.24,,,,광주전남,1.0,
조성역,34.806748,127.248707,전라남도 보성군 조성면 조성4길 14,3.0,10.0,,,경전선
조치원,36.60113,127.2963,,,,대전충청,2.0,
조치원역,36.601316,127.296073,세종특별자치시 조치원읍 으뜸길 215,2.0,124.0,,,"경부선,호남선,전라선,충북선"
좌천역,35.3109577,129.2442646,부산광역시 기장군 장안읍 좌천리 좌천로 40-13,3.0,20.0,,,"중앙선,동해남부선"
주덕,36.973409,127.802387,,,,대전충청,1.0,
주덕역,36.972924,127.802446,충청북도 충주시 주덕읍 신양로 138,3.0,18.0,,,충북선
중리,35.14,128.31,,,,부산경남,1.0,
중리역,35.2496109,128.5185743,경상남도 창원시 마산회원구 내서읍 함마대로 2803-3 ,0.0,12.0,,,경전선
증평,36.778406,127.58331,,,,대전충청,1.0,
증평역,36.777729,127.581994,충청북도 증평군 증평읍 역전로 92,3.0,18.0,,,충북선
지탄,36.24206,127.6759,,,,대전충청,1.0,
지탄역,36.2418013,127.6764129,충청북도 옥천군 이원면 지탄1길 28,0.0,2.0,,,경부선
지평,37.4765,127.6297,,,,서울본부,1.0,
지평역,37.482325,127.594833,경기도 양평군 지평면 지평역길 32,3.0,10.0,,,중앙선
진례,35.15,128.45,,,,부산경남,2.0,
진례역,35.2666868,128.7629265,경상남도 김해시 진례면 테크노밸리길 94,3.0,6.0,,,경전선
진부(오대산),37.642891,128.573885,,,,강원본부,1.0,
진부(오대산)역,0.0,0.0,강원도 평창군 진부면 송정길 120,0.0,,,,강릉선(고속)
진상,35.02,127.72,,,,광주전남,1.0,
진상역,35.0164,127.720054,전라남도 광양시 진상면 옥진로 1112,0.0,10.0,,,경전선
진영,35.298602,128.7740326,,,,부산경남,1.0,
